t,node1_u,node1_w,node1_x,node1_c1,node1_c2,node1_z,node1_h,node2_u,node2_w,node2_x,node2_c1,node2_c2,node2_z,node2_h
0.5,0.9675519958033004,0.9729544309156094,0.00894649683307071,0.0054024351123613005,0.0025971893309669077,0.0022107324651735255,4.814024887319275e-05,0.9678214232671221,0.9731746962109619,0.008863537958751238,0.0053532729439419,0.0025740430241046105,0.0021903479930648643,4.705755421719013e-05
0.505,0.9673903873097911,0.9728251188746997,0.009000923343507316,0.005434731564960982,0.0026124305797940828,0.0022241583190729017,4.852054378198169e-05,0.9676586309950979,0.9730444164969723,0.008918310924343979,0.0053857855019757,0.0025893913834107384,0.002203859391915386,4.7457650755223034e-05
0.51,0.9672276934162376,0.9726949045108466,0.009055670975705936,0.0054672110946613174,0.0026277543583942365,0.0022376626364957867,4.8901536065761915e-05,0.9674947576981703,0.9729132381174637,0.008973403784778998,0.005418480419393967,0.002604821951617325,0.0022174489872373434,4.785790772890655e-05
0.515,0.9670639095750386,0.9725637841408016,0.009110741402669582,0.0054998745658152255,0.00264316101040925,0.0022512458195459596,4.9283257698903024e-05,0.9673297988048799,0.9727811573655023,0.00902881822793104,0.00545135856072216,0.002620335067126342,0.0022311171826458827,4.8258373210770574e-05
0.52,0.9668990312053922,0.9724317540525744,0.009166136311936994,0.005532722847234542,0.0026586508794735355,0.0022649082734773015,4.9665740008973424e-05,0.9671637497100506,0.9726481705057823,0.009084555954116115,0.005484420795830817,0.0026359310698202106,0.0022448643843157225,4.8659093670288644e-05
0.525,0.9667330537622972,0.9722988105641985,0.009221857377247893,0.005565756801953627,0.002674224308071593,0.0022786504012630823,5.0049014925748905e-05,0.9669966058425311,0.9725142738322419,0.00914061865023848,0.005517667989809045,0.00265161029882725,0.0022586909950506437,4.906011696459079e-05
0.53,0.9665659726195213,0.9721649499238122,0.009277906307352797,0.005598977304343197,0.002689881639073752,0.002292472613038781,5.0433112840066124e-05,0.9668283625504435,0.9723794635700725,0.00919700803421217,0.005551101019726647,0.0026673730959025387,0.002272597424783947,4.946148720338333e-05
0.535,0.966397783142571,0.9720301683724568,0.009334284814527782,0.0056323852299380315,0.0027056232154080992,0.0023063753196579675,5.0818063987277527e-05,0.9666590151736908,0.9722437359374867,0.009253725827076904,0.005584720763892833,0.0026832198030889774,0.0022865840841519054,4.986324811801151e-05
0.54,0.9662284806969532,0.971894462151174,0.009390994611048926,0.005665981454272906,0.00272144938000272,0.002320358931974213,5.120389860273557e-05,0.9664885590521762,0.9721070871526968,0.009310773749872403,0.005618528100616818,0.0026991507624294676,0.0023006513837907925,5.026544343982059e-05
0.545,0.9660580606481746,0.971757827501005,0.009448037409192303,0.005699766852882599,0.0027373604757857015,0.0023344238608410867,5.159064692179268e-05,0.9663169895258028,0.9719695134339151,0.00936815352363839,0.005652523908207815,0.002715166315966909,0.002314799734336881,5.066811690015584e-05
